AverageTemperature,date
3.761,1768-01-01
7.138,1768-02-01
7.441,1768-03-01
12.088,1768-04-01
14.898,1768-05-01
17.096,1768-06-01
19.215,1768-07-01
19.081,1768-08-01
16.057,1768-09-01
12.938,1768-10-01
9.929,1768-11-01
6.876,1768-12-01
6.872,1769-01-01
7.074,1769-02-01
8.534,1769-03-01
12.279,1769-04-01
15.773,1769-05-01
17.994,1769-06-01
19.391,1769-07-01
19.132,1769-08-01
16.71,1769-09-01
9.848,1769-10-01
9.977,1769-11-01
6.775,1769-12-01
5.672,1770-01-01
7.75,1770-02-01
7.487,1770-03-01
10.974,1770-04-01
14.588,1770-05-01
17.236,1770-06-01
17.559,1770-07-01
19.093,1770-08-01
17.662,1770-09-01
12.435,1770-10-01
10.19,1770-11-01
7.899,1770-12-01
7.354,1771-01-01
6.162,1771-02-01
8.293,1771-03-01
9.2,1771-04-01
15.971,1771-05-01
17.462,1771-06-01
19.86,1771-07-01
19.444,1771-08-01
16.824,1771-09-01
13.761,1771-10-01
8.527,1771-11-01
8.592,1771-12-01
5.927,1772-01-01
8.367,1772-02-01
10.076,1772-03-01
12.031,1772-04-01
13.967,1772-05-01
19.214,1772-06-01
19.891,1772-07-01
19.991,1772-08-01
17.319,1772-09-01
14.711,1772-10-01
11.483,1772-11-01
8.893,1772-12-01
6.723,1773-01-01
5.582,1773-02-01
8.805,1773-03-01
11.918,1773-04-01
14.962,1773-05-01
17.403,1773-06-01
18.685,1773-07-01
19.127,1773-08-01
17.47,1773-09-01
13.571,1773-10-01
9.064,1773-11-01
8.451,1773-12-01
5.834,1774-01-01
8.323,1774-02-01
10.874,1774-03-01
13.164,1774-04-01
16.427,1774-05-01
18.736,1774-06-01
19.922,1774-07-01
20.65,1774-08-01
16.295,1774-09-01
12.18,1774-10-01
7.405,1774-11-01
4.725,1774-12-01
7.633,1775-01-01
10.292,1775-02-01
10.842,1775-03-01
11.964,1775-04-01
14.911,1775-05-01
18.361,1775-06-01
19.882,1775-07-01
19.304,1775-08-01
16.964,1775-09-01
13.243,1775-10-01
9.815,1775-11-01
6.075,1775-12-01
3.335,1776-01-01
8.668,1776-02-01
10.548,1776-03-01
12.209,1776-04-01
13.842,1776-05-01
18.367,1776-06-01
19.799,1776-07-01
19.913,1776-08-01
15.611,1776-09-01
13.155,1776-10-01
9.289,1776-11-01
7.29,1776-12-01
6.255,1777-01-01
6.766,1777-02-01
11.035,1777-03-01
10.653,1777-04-01
14.52,1777-05-01
16.952,1777-06-01
18.304,1777-07-01
19.705,1777-08-01
17.108,1777-09-01
13.292,1777-10-01
10.193,1777-11-01
5.55,1777-12-01
6.294,1778-01-01
7.444,1778-02-01
9.099,1778-03-01
13.536,1778-04-01
16.008,1778-05-01
17.495,1778-06-01
21.16,1778-07-01
19.806,1778-08-01
16.075,1778-09-01
12.193,1778-10-01
9.507,1778-11-01
8.232,1778-12-01
3.696,1779-01-01
8.944,1779-02-01
10.363,1779-03-01
13.961,1779-04-01
16.955,1779-05-01
16.763,1779-06-01
19.649,1779-07-01
19.673,1779-08-01
18.18,1779-09-01
14.496,1779-10-01
9.772,1779-11-01
8.625,1779-12-01
4.399,1780-01-01
6.119,1780-02-01
11.786,1780-03-01
13.081,1780-04-01
17.982,1780-05-01
19.253,1780-06-01
20.714,1780-07-01
20.119,1780-08-01
16.65,1780-09-01
13.6,1780-10-01
9.156,1780-11-01
5.924,1780-12-01
6.277,1781-01-01
8.218,1781-02-01
10.315,1781-03-01
13.062,1781-04-01
16.508,1781-05-01
18.356,1781-06-01
20.541,1781-07-01
20.123,1781-08-01
16.754,1781-09-01
12.513,1781-10-01
10.358,1781-11-01
8.631,1781-12-01
7.093,1782-01-01
3.873,1782-02-01
8.103,1782-03-01
10.854,1782-04-01
13.93,1782-05-01
19.614,1782-06-01
20.687,1782-07-01
19.658,1782-08-01
16.722,1782-09-01
11.802,1782-10-01
6.942,1782-11-01
5.309,1782-12-01
6.698,1783-01-01
9.348,1783-02-01
8.795,1783-03-01
12.692,1783-04-01
15.595,1783-05-01
18.335,1783-06-01
20.902,1783-07-01
19.453,1783-08-01
16.504,1783-09-01
13.138,1783-10-01
8.89,1783-11-01
6.314,1783-12-01
4.935,1784-01-01
4.8,1784-02-01
8.516,1784-03-01
10.18,1784-04-01
17.146,1784-05-01
18.755,1784-06-01
20.357,1784-07-01
19.026,1784-08-01
17.823,1784-09-01
10.469,1784-10-01
9.208,1784-11-01
4.475,1784-12-01
6.256,1785-01-01
4.648,1785-02-01
4.99,1785-03-01
10.297,1785-04-01
15.402,1785-05-01
18.803,1785-06-01
19.593,1785-07-01
18.568,1785-08-01
17.889,1785-09-01
12.13,1785-10-01
9.442,1785-11-01
6.565,1785-12-01
6.211,1786-01-01
7.468,1786-02-01
7.883,1786-03-01
12.711,1786-04-01
15.545,1786-05-01
18.966,1786-06-01
19.064,1786-07-01
18.895,1786-08-01
16.686,1786-09-01
10.971,1786-10-01
7.835,1786-11-01
5.936,1786-12-01
5.62,1787-01-01
7.703,1787-02-01
10.705,1787-03-01
11.382,1787-04-01
14.098,1787-05-01
18.635,1787-06-01
18.927,1787-07-01
19.795,1787-08-01
16.485,1787-09-01
13.421,1787-10-01
9.584,1787-11-01
8.216,1787-12-01
6.806,1788-01-01
8.889,1788-02-01
10.067,1788-03-01
12.785,1788-04-01
16.379,1788-05-01
19.022,1788-06-01
21.242,1788-07-01
19.172,1788-08-01
17.44,1788-09-01
12.812,1788-10-01
7.923,1788-11-01
3.621,1788-12-01
5.441,1789-01-01
8.137,1789-02-01
6.648,1789-03-01
11.925,1789-04-01
16.978,1789-05-01
16.705,1789-06-01
19.278,1789-07-01
19.271,1789-08-01
16.279,1789-09-01
11.937,1789-10-01
7.905,1789-11-01
6.93,1789-12-01
6.599,1790-01-01
8.52,1790-02-01
9.904,1790-03-01
10.287,1790-04-01
15.759,1790-05-01
18.561,1790-06-01
18.741,1790-07-01
19.893,1790-08-01
16.093,1790-09-01
14.24,1790-10-01
9.62,1790-11-01
7.319,1790-12-01
8.313,1791-01-01
7.675,1791-02-01
9.728,1791-03-01
13.846,1791-04-01
14.571,1791-05-01
17.86,1791-06-01
19.264,1791-07-01
20.362,1791-08-01
17.03,1791-09-01
12.546,1791-10-01
8.695,1791-11-01
7.023,1791-12-01
6.327,1792-01-01
7.381,1792-02-01
10.15,1792-03-01
13.42,1792-04-01
14.884,1792-05-01
17.863,1792-06-01
19.421,1792-07-01
19.33,1792-08-01
15.903,1792-09-01
13.52,1792-10-01
9.34,1792-11-01
7.12,1792-12-01
4.56,1793-01-01
8.459,1793-02-01
9.438,1793-03-01
10.83,1793-04-01
14.379,1793-05-01
17.289,1793-06-01
21.553,1793-07-01
20.291,1793-08-01
16.553,1793-09-01
13.965,1793-10-01
9.926,1793-11-01
8.098,1793-12-01
6.447,1794-01-01
9.822,1794-02-01
11.21,1794-03-01
14.227,1794-04-01
15.011,1794-05-01
17.832,1794-06-01
21.164,1794-07-01
18.962,1794-08-01
15.84,1794-09-01
12.891,1794-10-01
10.274,1794-11-01
5.352,1794-12-01
2.431,1795-01-01
6.915,1795-02-01
9.159,1795-03-01
12.944,1795-04-01
15.921,1795-05-01
17.804,1795-06-01
18.43,1795-07-01
19.851,1795-08-01
17.803,1795-09-01
14.662,1795-10-01
8.578,1795-11-01
8.562,1795-12-01
8.599,1796-01-01
7.849,1796-02-01
7.392,1796-03-01
12.121,1796-04-01
14.918,1796-05-01
17.873,1796-06-01
18.964,1796-07-01
19.961,1796-08-01
18.111,1796-09-01
12.855,1796-10-01
9.382,1796-11-01
4.255,1796-12-01
7.131,1797-01-01
7.573,1797-02-01
8.196,1797-03-01
12.003,1797-04-01
15.837,1797-05-01
16.606,1797-06-01
20.61,1797-07-01
19.85,1797-08-01
16.72,1797-09-01
12.42,1797-10-01
9.288,1797-11-01
8.093,1797-12-01
6.961,1798-01-01
7.356,1798-02-01
9.242,1798-03-01
12.828,1798-04-01
15.772,1798-05-01
18.422,1798-06-01
19.785,1798-07-01
20.069,1798-08-01
16.825,1798-09-01
12.953,1798-10-01
9.397,1798-11-01
5.391,1798-12-01
3.92,1799-01-01
7.825,1799-02-01
8.6,1799-03-01
10.246,1799-04-01
13.941,1799-05-01
17.256,1799-06-01
19.012,1799-07-01
19.014,1799-08-01
16.893,1799-09-01
12.921,1799-10-01
8.826,1799-11-01
4.215,1799-12-01
7.498,1800-01-01
7.062,1800-02-01
7.837,1800-03-01
13.961,1800-04-01
16.378,1800-05-01
16.785,1800-06-01
20.129,1800-07-01
19.974,1800-08-01
16.931,1800-09-01
12.556,1800-10-01
10.088,1800-11-01
6.755,1800-12-01
7.609,1801-01-01
7.629,1801-02-01
10.927,1801-03-01
12.053,1801-04-01
15.701,1801-05-01
17.248,1801-06-01
19.157,1801-07-01
19.129,1801-08-01
17.238,1801-09-01
13.385,1801-10-01
9.742,1801-11-01
7.491,1801-12-01
4.123,1802-01-01
7.388,1802-02-01
9.735,1802-03-01
12.431,1802-04-01
15.086,1802-05-01
19.109,1802-06-01
18.786,1802-07-01
21.301,1802-08-01
17.781,1802-09-01
14.493,1802-10-01
9.741,1802-11-01
7.455,1802-12-01
5.261,1803-01-01
4.342,1803-02-01
8.946,1803-03-01
13.455,1803-04-01
14.147,1803-05-01
18.051,1803-06-01
20.702,1803-07-01
20.595,1803-08-01
15.851,1803-09-01
12.444,1803-10-01
9.884,1803-11-01
7.717,1803-12-01
9.371,1804-01-01
5.823,1804-02-01
8.631,1804-03-01
11.934,1804-04-01
16.803,1804-05-01
19.543,1804-06-01
19.393,1804-07-01
19.046,1804-08-01
17.562,1804-09-01
13.178,1804-10-01
10.219,1804-11-01
5.609,1804-12-01
5.331,1805-01-01
7.059,1805-02-01
9.109,1805-03-01
10.561,1805-04-01
14.108,1805-05-01
17.089,1805-06-01
18.542,1805-07-01
19.143,1805-08-01
17.259,1805-09-01
11.289,1805-10-01
7.156,1805-11-01
5.996,1805-12-01
7.747,1806-01-01
8.686,1806-02-01
9.247,1806-03-01
10.069,1806-04-01
16.374,1806-05-01
18.431,1806-06-01
19.28,1806-07-01
19.182,1806-08-01
16.924,1806-09-01
12.964,1806-10-01
10.707,1806-11-01
9.663,1806-12-01
5.256,1807-01-01
8.016,1807-02-01
6.744,1807-03-01
10.655,1807-04-01
15.962,1807-05-01
17.502,1807-06-01
20.903,1807-07-01
21.174,1807-08-01
16.141,1807-09-01
14.225,1807-10-01
9.258,1807-11-01
5.728,1807-12-01
5.677,1808-01-01
5.342,1808-02-01
6.506,1808-03-01
9.909,1808-04-01
16.723,1808-05-01
17.011,1808-06-01
20.931,1808-07-01
19.356,1808-08-01
16.358,1808-09-01
10.469,1808-10-01
9.215,1808-11-01
3.98,1808-12-01
6.426,1809-01-01
9.279,1809-02-01
9.009,1809-03-01
8.697,1809-04-01
15.233,1809-05-01
17.077,1809-06-01
18.093,1809-07-01
18.438,1809-08-01
15.445,1809-09-01
12.034,1809-10-01
7.335,1809-11-01
7.204,1809-12-01
3.427,1810-01-01
5.589,1810-02-01
10.942,1810-03-01
11.325,1810-04-01
14.292,1810-05-01
16.684,1810-06-01
17.665,1810-07-01
18.217,1810-08-01
16.891,1810-09-01
12.532,1810-10-01
9.225,1810-11-01
7.602,1810-12-01
4.124,1811-01-01
8.433,1811-02-01
10.529,1811-03-01
12.506,1811-04-01
16.173,1811-05-01
18.162,1811-06-01
19.3,1811-07-01
18.41,1811-08-01
16.836,1811-09-01
14.295,1811-10-01
10.061,1811-11-01
6.589,1811-12-01
3.467,1812-01-01
7.735,1812-02-01
7.696,1812-03-01
9.728,1812-04-01
15.333,1812-05-01
17.118,1812-06-01
18.432,1812-07-01
18.781,1812-08-01
15.918,1812-09-01
12.63,1812-10-01
7.846,1812-11-01
4.019,1812-12-01
4.059,1813-01-01
8.247,1813-02-01
8.302,1813-03-01
12.138,1813-04-01
16.079,1813-05-01
16.648,1813-06-01
17.631,1813-07-01
17.985,1813-08-01
15.701,1813-09-01
12.856,1813-10-01
9.133,1813-11-01
6.574,1813-12-01
3.856,1814-01-01
4.248,1814-02-01
7.094,1814-03-01
12.074,1814-04-01
13.071,1814-05-01
16.929,1814-06-01
18.728,1814-07-01
18.022,1814-08-01
15.169,1814-09-01
11.356,1814-10-01
10.065,1814-11-01
8.927,1814-12-01
3.964,1815-01-01
8.498,1815-02-01
10.523,1815-03-01
11.624,1815-04-01
15.682,1815-05-01
16.664,1815-06-01
18.811,1815-07-01
18.337,1815-08-01
16.734,1815-09-01
12.994,1815-10-01
7.735,1815-11-01
5.647,1815-12-01
6.232,1816-01-01
5.067,1816-02-01
8.058,1816-03-01
11.035,1816-04-01
14.262,1816-05-01
15.706,1816-06-01
16.521,1816-07-01
16.891,1816-08-01
15.375,1816-09-01
12.448,1816-10-01
7.737,1816-11-01
6.123,1816-12-01
7.714,1817-01-01
9.695,1817-02-01
9.489,1817-03-01
9.765,1817-04-01
13.556,1817-05-01
18.048,1817-06-01
17.915,1817-07-01
17.937,1817-08-01
16.997,1817-09-01
10.221,1817-10-01
10.577,1817-11-01
5.83,1817-12-01
7.12,1818-01-01
7.198,1818-02-01
9.471,1818-03-01
12.711,1818-04-01
14.777,1818-05-01
19.184,1818-06-01
19.951,1818-07-01
18.705,1818-08-01
16.138,1818-09-01
12.675,1818-10-01
10.971,1818-11-01
6.098,1818-12-01
6.998,1819-01-01
7.568,1819-02-01
9.339,1819-03-01
12.735,1819-04-01
15.35,1819-05-01
17.197,1819-06-01
19.36,1819-07-01
18.898,1819-08-01
16.867,1819-09-01
12.773,1819-10-01
8.416,1819-11-01
6.65,1819-12-01
4.499,1820-01-01
7.08,1820-02-01
7.86,1820-03-01
13.33,1820-04-01
15.896,1820-05-01
17.135,1820-06-01
18.758,1820-07-01
19.359,1820-08-01
15.474,1820-09-01
11.442,1820-10-01
7.605,1820-11-01
6.87,1820-12-01
7.717,1821-01-01
6.538,1821-02-01
