,dt,AverageTemperature,Country
219,1814-04-01,26.526,India
220,1814-05-01,,India
221,1814-06-01,28.93,India
222,1814-07-01,25.53,India
223,1814-08-01,25.325000000000006,India
224,1814-09-01,24.583,India
225,1814-10-01,22.5,India
226,1814-11-01,21.007,India
227,1814-12-01,18.571,India
228,1815-01-01,15.915,India
229,1815-02-01,19.157,India
230,1815-03-01,22.208,India
231,1815-04-01,27.332,India
232,1815-05-01,29.24,India
233,1815-06-01,26.523000000000003,India
234,1815-07-01,26.31600000000001,India
235,1815-08-01,25.577,India
236,1815-09-01,25.154,India
237,1815-10-01,22.034,India
238,1815-11-01,18.865,India
239,1815-12-01,15.372,India
240,1816-01-01,16.375999999999998,India
241,1816-02-01,16.250999999999998,India
242,1816-03-01,22.414,India
243,1816-04-01,26.301,India
244,1816-05-01,29.514,India
245,1816-06-01,28.163,India
246,1816-07-01,25.06,India
247,1816-08-01,24.84800000000001,India
248,1816-09-01,23.977,India
249,1816-10-01,21.404,India
250,1816-11-01,18.967,India
251,1816-12-01,15.813,India
252,1817-01-01,15.916,India
253,1817-02-01,18.828,India
254,1817-03-01,22.551,India
255,1817-04-01,27.052,India
256,1817-05-01,28.28,India
257,1817-06-01,27.135,India
258,1817-07-01,25.614,India
259,1817-08-01,25.669,India
260,1817-09-01,23.313,India
261,1817-10-01,21.903,India
262,1817-11-01,19.313,India
263,1817-12-01,15.572,India
264,1818-01-01,16.076,India
265,1818-02-01,18.023,India
266,1818-03-01,23.085,India
267,1818-04-01,27.783,India
268,1818-05-01,29.952,India
269,1818-06-01,28.889,India
270,1818-07-01,25.302,India
271,1818-08-01,24.729000000000006,India
272,1818-09-01,24.058000000000003,India
273,1818-10-01,22.026,India
274,1818-11-01,19.335,India
275,1818-12-01,16.178,India
276,1819-01-01,14.385000000000002,India
277,1819-02-01,17.616,India
278,1819-03-01,22.021,India
279,1819-04-01,26.019,India
280,1819-05-01,28.662,India
281,1819-06-01,28.244,India
282,1819-07-01,25.901,India
283,1819-08-01,25.169,India
284,1819-09-01,24.613000000000003,India
285,1819-10-01,23.262,India
286,1819-11-01,19.983,India
287,1819-12-01,15.968000000000002,India
288,1820-01-01,14.902,India
289,1820-02-01,17.539,India
290,1820-03-01,22.622,India
291,1820-04-01,27.626,India
292,1820-05-01,29.083,India
293,1820-06-01,28.243,India
294,1820-07-01,25.972,India
295,1820-08-01,24.849,India
296,1820-09-01,24.896,India
297,1820-10-01,22.787,India
298,1820-11-01,19.562,India
299,1820-12-01,16.008000000000006,India
300,1821-01-01,17.268,India
301,1821-02-01,19.933,India
302,1821-03-01,23.809,India
303,1821-04-01,26.623,India
304,1821-05-01,29.613000000000003,India
305,1821-06-01,28.564,India
306,1821-07-01,26.174000000000003,India
307,1821-08-01,25.669,India
308,1821-09-01,24.188,India
309,1821-10-01,23.045,India
310,1821-11-01,20.411,India
311,1821-12-01,17.034000000000002,India
312,1822-01-01,17.522000000000002,India
313,1822-02-01,20.712,India
314,1822-03-01,25.528,India
315,1822-04-01,27.135,India
316,1822-05-01,29.57,India
317,1822-06-01,28.46,India
318,1822-07-01,26.667,India
319,1822-08-01,25.142000000000003,India
320,1822-09-01,24.52,India
321,1822-10-01,22.519,India
322,1822-11-01,19.336,India
323,1822-12-01,16.058,India
324,1823-01-01,16.882,India
325,1823-02-01,19.361,India
326,1823-03-01,23.47,India
327,1823-04-01,27.77,India
328,1823-05-01,29.427,India
329,1823-06-01,29.279,India
330,1823-07-01,26.703000000000007,India
331,1823-08-01,25.16200000000001,India
332,1823-09-01,23.894,India
333,1823-10-01,23.159,India
334,1823-11-01,19.397,India
335,1823-12-01,17.149,India
336,1824-01-01,17.323,India
337,1824-02-01,19.326,India
338,1824-03-01,23.737,India
339,1824-04-01,27.524,India
340,1824-05-01,29.551,India
341,1824-06-01,29.33,India
342,1824-07-01,28.039,India
343,1824-08-01,25.948,India
344,1824-09-01,25.79,India
345,1824-10-01,22.748,India
346,1824-11-01,20.546,India
347,1824-12-01,18.735,India
348,1825-01-01,17.412000000000006,India
349,1825-02-01,19.554,India
350,1825-03-01,23.61,India
351,1825-04-01,27.947,India
352,1825-05-01,29.516,India
353,1825-06-01,29.196,India
354,1825-07-01,26.856,India
355,1825-08-01,25.331,India
356,1825-09-01,24.905,India
357,1825-10-01,23.159,India
358,1825-11-01,21.021,India
359,1825-12-01,17.046,India
360,1826-01-01,17.047,India
